Nom;Prénom;Adresse;Téléphone;Courriel;Encan #232;Encan #233;Encan #234;Encan #235
Lefebvre;Étienne;123 Rue Sainte-Catherine, Sherbrooke, QC, J1H 1M1;819-555-9876;etienne.lefebvre@email.com;lot #22;lot #13;lot #25, lot #25a;
Lemieux;Marie-Claude;4321 Rue Berri, Saguenay, QC, G7K 1T2;418-555-1234;marieclaude.lemieux@email.com;lot #23;;lot #26;
Lévesque;Denis;3457 Boulevard René-Lévesque, Québec, QC, G1R 2H9;819-555-4567;denis.levesque@email.com;lot #24;;lot #27;
Martel;Claude;2300 Rue Laurier, Montréal, QC, H2V 3H1;514-555-4567;claude.martel@email.com;lot #25;;lot #28;
Mercier;Alain;7895 Boulevard Sainte-Anne, Lévis, QC, G6V 6J3;418-555-8901;alain.mercier@email.com;lot #26;;lot #29;
Morin;Catherine;321 Rue King, Drummondville, QC, J2C 1R1;819-555-5678;catherine.morin@email.com;lot #27;;lot #30;
Ouellet;Nathalie;1456 Rue King Est, Sherbrooke, QC, J1G 1B5;819-555-5678;nathalie.ouellet@email.com;lot #28;lot #4;lot #31;
Parent;Pierre;789 Boulevard Saint-Joseph, Gatineau, QC, J8Y 3Z5;418-555-6789;pierre.parent@email.com;lot #29;lot #6;lot #32;
Pelletier;Émilie;467 Boulevard Charest, Québec, QC, G1N 2H1;514-555-8901;emilie.pelletier@email.com;lot #30;lot #10;lot #33;
Proulx;Mathieu;2345 Avenue de l’Université, Montréal, QC, H3C 1V9;514-555-1122;mathieu.proulx@email.com;lot #2;;lot #34;
Richard;Michel;6789 Rue du Lac, Québec, QC, G1K 4L5;418-555-6543;michel.richard@email.com;;;lot #35;
Robitaille;Catherine;6780 Rue Hochelaga, Montréal, QC, H1V 3P5;514-555-5432;catherine.robitaille@email.com;;;lot #36;
Rousseau;Caroline;1200 Rue des Laurentides, Longueuil, QC, J4H 5K8;514-555-7890;caroline.rousseau@email.com;lot #31;lot #11;lot #37;
Roy;Paul;678 Rue Saint-Jean, Lévis, QC, G6V 4B3;418-555-6789;paul.roy@email.com;lot #32;;lot #38, lot #38a;
Simard;Francis;1090 Rue Saint-Vallier, Shawinigan, QC, G9N 2L8;418-555-2345;francis.simard@email.com;lot #1, lot #1a, lot #1b;;;
Tremblay;Marie;890 Boulevard René-Lévesque, Québec, QC, G1R 5B1;514-555-5678;marie.tremblay@email.com;lot #5;;;
;;;;;;;;
;;;;;;;;
